cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
1,24,"02 Apr 2008, 15:25:41",3.277169977,-0.006528351252,34.23085284,-0.0006,0,3690.234,1.856487421
3,24,"02 Apr 2008, 19:43:48",3.300244887,-0.0004475525791,34.39213659,-0.0006,0,3672.344,1.84632725
5,24,"03 Apr 2008, 0:01:06",3.32745101,0.001026018559,34.23277872,-0.0006,0,3651.641,1.835349194
7,24,"03 Apr 2008, 4:16:37",3.314181859,-0.002233621696,34.41344995,-0.0006,0,3631.563,1.835262528
9,24,"03 Apr 2008, 8:33:25",3.305496731,9.24E-06,34.34588499,-0.0006,0,3629.172,1.834645508
11,24,"03 Apr 2008, 12:55:10",3.302329113,-0.003967230112,34.20092692,-0.0006,0.001,3652.281,1.83566166
13,24,"03 Apr 2008, 17:17:16",3.29374067,-0.003424827194,34.29828476,-0.0006,0,3650.828,1.835146143
15,24,"03 Apr 2008, 21:28:14",3.316230741,0.00171023897,34.76224184,-0.0006,0,3572.453,1.825756791
17,24,"04 Apr 2008, 1:38:15",3.297410935,-0.001004052378,35.05182953,-0.0004,0,3550.594,1.824773853
19,24,"04 Apr 2008, 5:48:08",3.288404483,0.00126140141,35.02973666,-0.0006,0,3551.25,1.824613268
21,24,"04 Apr 2008, 9:57:19",3.266275575,0.000285051708,35.32247969,-0.0006,0,3530.25,1.824619553
24,24,"04 Apr 2008, 17:56:27",3.296199859,-0.0007757313953,35.59296016,-0.0006,0,3491.016,1.814201936
26,24,"04 Apr 2008, 22:01:54",3.271757416,-0.000472438356,35.96127245,-0.0006,0,3470.281,1.813752158
28,24,"05 Apr 2008, 2:20:26",3.264855084,-0.0025059932,35.8696097,-0.0006,0,3470,1.813440491
30,24,"05 Apr 2008, 6:25:01",3.309111202,-3.78E-05,35.53204381,-0.0006,0,3450.297,1.802598004
32,24,"05 Apr 2008, 10:30:32",3.288149053,-0.001359332534,35.81031289,-0.0006,0,3429.407,1.8021069
34,24,"05 Apr 2008, 14:34:41",3.260754101,-0.0007935553984,36.24247715,-0.0006,0.001,3409.484,1.802579501
36,24,"05 Apr 2008, 18:39:25",3.229466822,-0.004407893712,36.70221725,-0.0006,0,3390.422,1.803068314
38,24,"05 Apr 2008, 22:46:35",3.224378895,-0.001862125717,36.77890978,-0.0006,0,3390.281,1.802777625
41,24,"18 Apr 2008, 21:10:19",3.258740332,-3.54E-05,34.93481911,-0.0006,0,3591.734,1.847025995
45,24,"19 Apr 2008, 2:29:09",3.218046215,0.0001519420551,36.06881903,-0.0006,0,3552.297,1.847417311
49,24,"19 Apr 2008, 7:47:15",3.257309627,-0.002765735474,35.57131957,-0.0006,0,3531.578,1.836177421
53,24,"19 Apr 2008, 13:01:42",3.280256747,-0.0001953488937,35.49553079,-0.0006,0,3492.907,1.825780748
57,24,"19 Apr 2008, 18:27:29",3.279765451,-0.001914705596,35.20943494,-0.0006,0,3511.594,1.825113644
61,24,"19 Apr 2008, 23:41:55",3.205068916,-0.000256914785,36.50765859,-0.0006,0,3431.937,1.825581504
65,24,"20 Apr 2008, 4:54:41",3.276866922,0.0006643566078,35.87513759,-0.0008,0,3431.125,1.814031128
69,24,"20 Apr 2008, 10:16:28",3.231130028,-0.002598175553,36.32486455,-0.0006,0,3412.406,1.814769194
73,24,"20 Apr 2008, 15:37:05",3.222025773,-0.0001462630301,36.4068772,-0.0006,0,3410.688,1.813969389
77,24,"20 Apr 2008, 20:50:38",3.290082794,-0.004012055064,35.8741726,-0.0008,0,3410.718,1.802765665
81,24,"21 Apr 2008, 2:15:02",3.251176185,-0.001451430327,36.40595071,-0.0006,0,3392.719,1.80407704
85,24,"22 Apr 2008, 15:33:49",3.249283482,-0.001499701483,36.28230125,0.0006,0,3470.672,1.851802552
89,24,"22 Apr 2008, 20:26:18",3.260087599,-0.001228815048,36.73981915,0.0006,0,3414.109,1.830703846
93,24,"23 Apr 2008, 1:18:11",3.281146601,0.001947239059,36.49603036,0.0008,0,3395.219,1.819904109
97,24,"23 Apr 2008, 6:18:19",3.30937152,-0.001003526379,36.04392364,0.0006,0,3386,1.809307964
101,24,"23 Apr 2008, 11:08:00",3.295594468,-0.001834969882,36.22444539,0.0006,0,3368.187,1.804609905
105,24,"23 Apr 2008, 16:06:25",3.317198245,-0.0001708683694,36.48129579,0.0006,0,3368.266,1.799377065
109,24,"23 Apr 2008, 21:02:58",3.347818507,-0.0008312254388,35.98576133,0.0006,0,3358.719,1.788443234
113,24,"24 Apr 2008, 1:51:33",3.337821924,-0.00284373998,36.10148289,0.0006,0,3339.5,1.782923048
117,24,"24 Apr 2008, 6:50:00",3.364372479,-0.004309732475,35.8592178,0.0006,0,3331.265,1.773033716
121,24,"24 Apr 2008, 11:49:24",3.336014494,0.002106450585,36.40939106,0.0006,0,3321.188,1.773037755
125,24,"24 Apr 2008, 16:45:56",3.355659628,0.001443793644,36.77364626,0.0006,0,3321.844,1.767872111
129,24,"24 Apr 2008, 21:38:11",3.361490198,0.0009051016773,36.84756032,0.0006,0,3311.828,1.76231507
133,24,"25 Apr 2008, 12:03:44",3.346968122,-0.001459488496,36.71091395,-0.0006,0,3327.391,1.767617292
135,24,"25 Apr 2008, 20:03:55",3.371210049,-0.0007500356716,36.38019708,0.0006,0,3312.078,1.76266836
139,24,"26 Apr 2008, 1:04:35",3.379951819,-0.001351175408,36.1805145,0.0006,0,3293.172,1.751730487
143,24,"26 Apr 2008, 5:57:35",3.391867016,-0.000718230166,36.07117792,0.0006,0,3275.328,1.741849605
147,24,"26 Apr 2008, 10:58:25",3.389321801,-0.001638270192,36.06727402,0.0008,0,3265.016,1.736091351
149,24,"29 Apr 2008, 12:15:56",3.239960443,-0.002410258903,39.39707856,0.0008,0,3328.937,1.793624015
153,24,"29 Apr 2008, 17:05:27",3.31112764,-0.0004760835045,38.24790664,0.0008,0,3329.266,1.783189022
157,24,"29 Apr 2008, 22:00:04",3.332862126,-0.002545776801,37.66314807,0.0008,0,3301.579,1.767364208
161,24,"30 Apr 2008, 2:43:55",3.333761215,0.0009142168194,37.41262018,0.0006,0,3283.563,1.757017785
165,24,"30 Apr 2008, 7:41:42",3.361505749,0.0002297172014,36.98304922,0.0006,0,3275.125,1.746870618
169,24,"30 Apr 2008, 12:28:49",3.352855281,-0.003677569057,37.11383317,0.0006,0,3265.656,1.741717251
173,24,"30 Apr 2008, 17:20:16",3.365152082,-0.001924143845,37.44763048,0.0006,0,3266.093,1.736422506
177,24,"30 Apr 2008, 22:14:54",3.38577286,0.0004995070896,36.88044924,0.0008,0,3257.594,1.726321724
181,24,"01 May 2008, 3:15:33",3.408443186,-0.0007362875556,36.63224569,0.0006,0,3248.593,1.715806539
185,24,"01 May 2008, 8:16:03",3.409832097,0.0002035420338,36.73387962,0.0006,0,3238.766,1.710533351
189,24,"01 May 2008, 13:14:24",3.417268005,-0.00524113345,36.82798617,0.0006,0,3240.14,1.7060145
193,24,"01 May 2008, 18:11:10",3.421833589,-0.0004575840517,37.08800149,0.0006,0,3230.109,1.700311027
197,24,"01 May 2008, 23:10:15",3.427142406,-0.002323500375,36.75804959,0.0006,0,3229.781,1.69457986
201,24,"02 May 2008, 3:53:34",3.438178718,-0.001432966333,36.66588768,0.0008,0,3212.469,1.684902909
205,24,"02 May 2008, 8:44:40",3.465640473,-0.001928562803,36.22708832,0.0006,0,3213.219,1.674474159
209,24,"02 May 2008, 13:43:05",3.444985935,-0.0007476535284,36.83574345,0.0006,0,3203.578,1.674569248
213,24,"02 May 2008, 19:07:48",3.467467091,0.0002387859433,36.31129508,0.0006,0,3195.125,1.663716376
215,24,"02 May 2008, 23:24:17",3.471730001,-0.0009780784438,36.57728194,0.0006,0,3195.313,1.659013869
219,24,"03 May 2008, 4:13:08",3.466070336,-0.001671215251,36.61716358,0.0006,0,3186.297,1.653854057
223,24,"03 May 2008, 9:10:19",3.485289155,0.0001452940785,36.28502922,0.0006,0,3176.438,1.642653782
227,24,"03 May 2008, 14:04:34",3.480022171,-0.003882123672,36.40409776,0.0006,0,3167.593,1.637857843
231,24,"03 May 2008, 18:58:13",3.487572729,-0.004430965855,36.33612654,0.0006,0,3167.719,1.632735041
235,24,"03 May 2008, 23:42:30",3.48458314,-0.002779507078,36.42204258,0.0006,0,3159.078,1.627752892
239,24,"04 May 2008, 4:41:40",3.484004412,-0.0009843051419,36.46650027,0.0006,0,3148.829,1.622125486
243,24,"04 May 2008, 9:40:11",3.508463138,-0.003643502506,36.01706888,0.0006,0,3149.094,1.61132566
247,24,"04 May 2008, 14:38:13",3.503787286,-0.0005279739237,36.12135272,0.0008,0,3140.547,1.60656314
251,24,"04 May 2008, 19:37:07",3.500128757,0.0005102798844,36.20196695,0.0006,0,3131.625,1.601514223
255,24,"05 May 2008, 0:35:53",3.517670766,-0.003099056095,35.8666031,0.0006,0,3121.907,1.590369231
259,24,"05 May 2008, 5:28:13",3.517448609,-0.004404315945,35.80553828,0.0006,0,3122.125,1.585788997
263,24,"05 May 2008, 11:41:31",3.516013267,-0.001663601844,35.6702667,0.0006,0,3121.672,1.584943071
265,24,"05 May 2008, 20:40:08",3.496983702,-0.001124179368,36.34696099,0.0006,0,3120.86,1.595526389
269,24,"06 May 2008, 1:38:46",3.520220864,-0.003973954015,35.52300699,0.0006,0,3103.828,1.574730175
273,24,"06 May 2008, 6:37:06",3.529225684,6.07E-05,35.26695893,0.0006,0,3095.094,1.564901995
277,24,"06 May 2008, 11:25:21",3.530725945,-0.0006247516421,35.35042795,0.0006,0,3095.781,1.559765947
281,24,"06 May 2008, 16:23:36",3.521290948,-0.002065597935,35.94137693,0.0006,0,3094.328,1.559481567
285,24,"06 May 2008, 21:21:49",3.523535901,-0.00366169201,36.04660209,0.0006,0,3086.531,1.554689354
289,24,"07 May 2008, 2:17:25",3.525524176,-5.65E-05,35.84567238,0.0006,0,3085.625,1.548874108
293,24,"07 May 2008, 7:04:02",3.534833787,-0.0003089657137,35.57978324,0.0006,0,3067.203,1.538236599
297,24,"07 May 2008, 12:01:49",3.54590292,-0.001821504475,35.18876167,0.0008,0,3058.157,1.527914258
301,24,"07 May 2008, 16:59:29",3.536266004,0.0006417277353,35.64399547,0.0006,0,3058.812,1.528525263
305,24,"07 May 2008, 21:56:09",3.546806706,-0.002417167811,35.70451577,0.0006,0,3058.578,1.522647325
309,24,"08 May 2008, 2:53:49",3.54802872,-0.00329091105,35.75012466,0.0006,0,3049.328,1.517485994
312,24,"09 May 2008, 12:25:07",3.525050223,-0.001056050592,36.01263662,0.0006,0,3177.219,1.605818899
315,24,"09 May 2008, 20:28:09",3.494044838,-0.0007426552596,36.76362118,0.0006,0,3082.937,1.563849145
319,24,"10 May 2008, 1:21:56",3.510041836,-0.001763142796,36.50230588,0.0006,0,3074.266,1.548091525
323,24,"10 May 2008, 6:18:12",3.53592476,0.001569723796,35.91017221,0.0006,0,3066,1.532375563
327,24,"10 May 2008, 11:16:04",3.529350807,-0.00397011573,35.87897248,0.0006,0,3056.437,1.526952827
331,24,"10 May 2008, 16:11:56",3.541857034,-0.001085866638,35.62922817,0.0006,0,3048.219,1.516957302
335,24,"10 May 2008, 21:07:54",3.540101145,-0.00174555315,35.7511914,0.0006,0,3039.218,1.511897596
339,24,"11 May 2008, 2:05:21",3.545308235,-0.001408619739,35.64438752,0.0006,0,3039.047,1.506563896
343,24,"11 May 2008, 6:55:27",3.543070358,-0.002012131902,35.7178175,0.0006,0,3030.375,1.501545353
347,24,"11 May 2008, 11:52:47",3.558035378,-0.004792435267,35.4681575,0.0008,0,3021,1.490844405
351,24,"11 May 2008, 16:49:58",3.561997553,0.0006217348756,35.41772195,0.0006,0,3021.75,1.485868385
355,24,"11 May 2008, 21:47:12",3.561734625,-0.0017731134,35.44065808,0.0008,0,3012.265,1.480413678
359,24,"12 May 2008, 2:36:58",3.562743172,-0.0006826543304,35.43941162,0.0006,0,3002.641,1.475209587
363,24,"12 May 2008, 12:56:34",3.544836812,-0.00122968054,35.71444214,0.0008,0,3012,1.485903599
366,24,"12 May 2008, 18:59:59",3.535834318,-0.005346170115,36.32232581,0.0006,0,3020.11,1.49609183
370,24,"12 May 2008, 23:53:17",3.544628259,-0.002622952554,36.14370702,0.0006,0,3002.172,1.480800595
374,24,"13 May 2008, 4:35:25",3.556359815,-0.001207832239,35.81782913,0.0008,0,2992.703,1.469754327
