,cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
0,1,24,"02 Apr 2008, 15:25:41",2.475767757,-2.009435892,39.16298653,-1.999,1.653,3690.234,2.035337591
1,1,24,"02 Apr 2008, 15:25:41",3.062112709,-0.001433298764,37.33847849,-0.0004,0.0,3690.234,1.891052295
2,1,24,"02 Apr 2008, 15:25:41",3.277169977,-0.006528351252,34.23085284,-0.0006,0.0,3690.234,1.856487421
3,3,24,"02 Apr 2008, 19:43:48",2.351525512,-2.010374856,39.24620268,-1.999,1.543,3672.344,2.025140246
4,3,24,"02 Apr 2008, 19:43:48",3.079226238,-0.003230385241,37.1617386,-0.0004,0.0,3672.344,1.880637028
5,3,24,"02 Apr 2008, 19:43:48",3.300244887,-0.0004475525791,34.39213659,-0.0006,0.0,3672.344,1.84632725
6,5,24,"03 Apr 2008, 0:01:06",2.440479715,-2.008558887,38.99920246,-1.999,1.65,3651.641,2.013326371
7,5,24,"03 Apr 2008, 0:01:06",3.063265547,-0.00315778288,37.50810004,-0.0006,0.0,3651.641,1.880662672
8,5,24,"03 Apr 2008, 0:01:06",3.32745101,0.001026018559,34.23277872,-0.0006,0.0,3651.641,1.835349194
9,7,24,"03 Apr 2008, 4:16:37",2.479155854,-2.009290448,38.84362777,-1.999,1.69,3631.563,2.013284666
10,7,24,"03 Apr 2008, 4:16:37",3.039420908,-0.003421517887,37.85540509,-0.0006,0.0,3631.563,1.880770901
11,7,24,"03 Apr 2008, 4:16:37",3.314181859,-0.002233621696,34.41344995,-0.0006,0.0,3631.563,1.835262528
12,9,24,"03 Apr 2008, 8:33:25",2.280187848,-2.01176084,38.97798888,-1.999,1.488,3629.172,2.000528338
13,9,24,"03 Apr 2008, 8:33:25",3.043167178,-0.002355089738,37.83587047,-0.0006,0.0,3629.172,1.879450873
14,9,24,"03 Apr 2008, 8:33:25",3.305496731,9.24e-06,34.34588499,-0.0006,0.0,3629.172,1.834645508
15,11,24,"03 Apr 2008, 12:55:10",2.439284257,-2.010947045,38.83989921,-1.999,1.659,3652.281,2.013899076
16,11,24,"03 Apr 2008, 12:55:10",3.123387982,-0.002524129483,36.68060295,-0.0006,0.0,3652.281,1.880700352
17,11,24,"03 Apr 2008, 12:55:10",3.302329113,-0.003967230112,34.20092692,-0.0006,0.001,3652.281,1.83566166
18,13,24,"03 Apr 2008, 17:17:16",2.281206845,-2.012014627,39.04610837,-1.9992,1.505,3650.828,2.013101106
19,13,24,"03 Apr 2008, 17:17:16",3.118582129,-0.002681967867,36.84575704,-0.0006,0.0,3650.828,1.879935252
20,13,24,"03 Apr 2008, 17:17:16",3.29374067,-0.003424827194,34.29828476,-0.0006,0.0,3650.828,1.835146143
21,15,24,"03 Apr 2008, 21:28:14",2.366410527,-2.009602654,38.87507521,-1.9992,1.602,3572.453,1.968789826
22,15,24,"03 Apr 2008, 21:28:14",3.04842921,-0.00360492416,38.24441491,-0.0006,0.0,3572.453,1.881508812
23,15,24,"03 Apr 2008, 21:28:14",3.316230741,0.00171023897,34.76224184,-0.0006,0.0,3572.453,1.825756791
24,17,24,"04 Apr 2008, 1:38:15",2.43602005,-2.010503182,38.72605398,-1.999,1.664,3550.594,1.968166176
25,17,24,"04 Apr 2008, 1:38:15",3.016246202,0.0002748134023,38.66297037,-0.0006,0.0,3550.594,1.869690787
26,17,24,"04 Apr 2008, 1:38:15",3.297410935,-0.001004052378,35.05182953,-0.0004,0.0,3550.594,1.824773853
27,19,24,"04 Apr 2008, 5:48:08",2.186437749,-2.012000629,38.98629729,-1.999,1.411,3551.25,1.957230792
28,19,24,"04 Apr 2008, 5:48:08",3.005452832,-0.006725826966,38.74331536,-0.0006,0.0,3551.25,1.87005238
29,19,24,"04 Apr 2008, 5:48:08",3.288404483,0.00126140141,35.02973666,-0.0006,0.0,3551.25,1.824613268
30,21,24,"04 Apr 2008, 9:57:19",2.340602361,-2.008605764,38.65978862,-1.9992,1.583,3530.25,1.945599151
31,21,24,"04 Apr 2008, 9:57:19",2.96653348,-0.002366401974,39.17593372,-0.0006,0.0,3530.25,1.870044239
32,21,24,"04 Apr 2008, 9:57:19",3.266275575,0.000285051708,35.32247969,-0.0006,0.0,3530.25,1.824619553
33,24,24,"04 Apr 2008, 17:56:27",2.426302137,-2.008093199,38.84979196,-1.999,1.659,3491.016,1.934750504
34,24,24,"04 Apr 2008, 17:56:27",2.95834762,-0.006579885066,39.59267385,-0.0006,0.0,3491.016,1.859651899
35,24,24,"04 Apr 2008, 17:56:27",3.296199859,-0.0007757313953,35.59296016,-0.0006,0.0,3491.016,1.814201936
36,26,24,"04 Apr 2008, 22:01:54",2.47536977,-2.008861764,38.75128344,-1.999,1.704,3470.281,1.923279954
37,26,24,"04 Apr 2008, 22:01:54",2.896976192,-0.004714079154,39.74652756,-0.0006,0.0,3470.281,1.859074656
38,26,24,"04 Apr 2008, 22:01:54",3.271757416,-0.000472438356,35.96127245,-0.0006,0.0,3470.281,1.813752158
39,28,24,"05 Apr 2008, 2:20:26",2.342364524,-2.01142588,38.76853764,-1.999,1.59,3470.0,1.911889931
40,28,24,"05 Apr 2008, 2:20:26",2.876004651,-0.0004508051049,39.88045079,-0.0004,0.0,3470.0,1.859008458
41,28,24,"05 Apr 2008, 2:20:26",3.264855084,-0.0025059932,35.8696097,-0.0006,0.0,3470.0,1.813440491
42,30,24,"05 Apr 2008, 6:25:01",2.188400082,-2.009440178,38.84686112,-1.999,1.433,3450.297,1.901066714
43,30,24,"05 Apr 2008, 6:25:01",2.949033322,-0.006585240512,39.17973626,-0.0006,0.0,3450.297,1.859362259
